2025-09-13 16:25:59,673 - INFO - logging in using static token
2025-09-13 16:26:02,089 - INFO - Shard ID None has connected to Gateway (Session ID: f70d473863e2677e824147f5a51a4321).
2025-09-13 16:26:04,233 - INFO - Bot PervertedOldMan#3932 is now running!
2025-09-13 16:26:04,709 - INFO - Synced 2 command(s)
2025-09-13 16:26:10,984 - ERROR - Error executing command: 'NoneType' object is not subscriptable
2025-09-13 16:27:39,617 - INFO - logging in using static token
2025-09-13 16:27:41,933 - INFO - Shard ID None has connected to Gateway (Session ID: 0eb5d3deea4c1d359fdd9038f7b0723a).
2025-09-13 16:27:44,084 - INFO - Bot PervertedOldMan#3932 is now running!
2025-09-13 16:27:44,634 - INFO - Synced 2 command(s)
2025-09-13 16:27:48,218 - ERROR - Error executing command: 'NoneType' object has no attribute 'get'
2025-09-13 16:29:04,428 - INFO - logging in using static token
2025-09-13 16:29:07,021 - INFO - Shard ID None has connected to Gateway (Session ID: e9b11e1d481a52b39ccc45f26128f4c4).
2025-09-13 16:29:09,054 - INFO - Bot PervertedOldMan#3932 is now running!
2025-09-13 16:29:09,618 - INFO - Synced 2 command(s)
2025-09-13 16:35:14,763 - INFO - logging in using static token
2025-09-13 16:35:17,053 - INFO - Shard ID None has connected to Gateway (Session ID: 11f5b6e83e94a6ea5a582cd8291aac21).
2025-09-13 16:35:19,280 - INFO - Bot PervertedOldMan#3932 is now running!
2025-09-13 16:35:19,845 - INFO - Synced 2 command(s)
2025-09-13 16:35:49,097 - INFO - logging in using static token
2025-09-13 16:35:51,608 - INFO - Shard ID None has connected to Gateway (Session ID: 5c7a740b9e097af553bcbdaf3ca19751).
2025-09-13 16:35:53,639 - INFO - Bot PervertedOldMan#3932 is now running!
2025-09-13 16:35:54,210 - INFO - Synced 2 command(s)
2025-09-13 16:36:00,007 - ERROR - Error executing command: 'NoneType' object has no attribute 'get'
2025-09-13 16:37:29,888 - INFO - logging in using static token
2025-09-13 16:37:32,143 - INFO - Shard ID None has connected to Gateway (Session ID: b423bc041f6744caeeaf51acded000da).
2025-09-13 16:37:34,187 - INFO - Bot PervertedOldMan#3932 is now running!
2025-09-13 16:37:34,844 - INFO - Synced 2 command(s)
2025-09-13 16:37:41,909 - ERROR - Failed to start Minecraft server.
2025-09-13 16:39:11,713 - INFO - logging in using static token
2025-09-13 16:39:14,033 - INFO - Shard ID None has connected to Gateway (Session ID: d3bedf4cf5d0666ee1410025b8f96dc6).
2025-09-13 16:39:16,048 - INFO - Bot PervertedOldMan#3932 is now running!
